Период;KR;M2;FW;REZ;VVP;IF1;Ex;Kurs;ip;SEI;Im;ZZ;ZK;ZBT;IVPT;MIACR;Rcrd;Rdep;iSP;IP1;CE3;PBT1;TI1;CK1;CKD1;CKG1;GI1;NNI1;ZMOS;SE;MIP;W1;Propin1;NW1;TRT1;PR1;C1;CPD1;SBER1;NR1;RMI1;AMAW;AMAWproc;AAPEN;AAPENproc;AMINC;AMINCproc;DJNU;REINB;PM;Pmproc;LPOORproc;LPOOR;N;BIRTS;KBIRTS;DEATHS;KDEATHS;ND;KND;MIGRAIN;MIGRAOUT;SMIGRA;EAP;EMEC;EMECproc;UNEM;UNEMproc;UNEMREG;UNEMREproc
1 кв. 2013;5.5;26760.57;110.9;-11.45;16370;99.1;125222;0.99;1;48311;76911;15.69;0.08;1.78;113.2;0.06;0.09;0.04;1.07;101.9;47.8;37.9;14.3;73.9;53.2;20.3;19.7;15.2;4.5;7.1;9374.9;57.4;3.83;7.02;18.5;13.3;85.1;14.4;3.9;-3.4;105.9;27384.2;107.6;10008.2;109.3;21800;111.3;0.4;14.7;7095;102.3;13.8;19.7;143.3;448;12.8;490.5;13.4;-42.5;-1.2;92193;38186;54007;75255;70899;94.2;4355;5.8;1083;1.4
2 кв. 2013;5.5;27389.7;101.22;-7.74;17507.88;101;127412;1.04;0.99;42462;84950;14.49;0.08;3.06;106.95;0.06;0.1;0.04;1.06;103.5;47.7;37.6;14.7;73;53.3;19.3;22.4;20.1;2.3;5.3;10746.92;57.26;4.73;6.58;18.9;12.47;80.4;14.9;3.5;1.2;103.8;30245;110.45;10024.9;109.6;24990;114.6;0.41;15.7;7372;103.9;12.1;17.3;143.3;455.2;12.9;465.5;13.3;-10.3;-0.8;123420;85697;37723;75458;71400;94.6;4058;5.4;970;1.3
3 кв. 2013;5.5;28385.37;110.44;-8.76;19003.47;100.8;131048;1.03;1.04;43713;87335;16.68;0.07;4.81;108.54;0.06;0.1;0.04;1.03;104.7;45.1;41.6;13.3;70.9;52.6;18;25.9;21;4.9;4.2;10978.41;54.98;4.8;6.89;18.41;14.92;84.5;15.2;0.8;-0.5;103.2;29600.17;97.87;10055.3;109.6;25529;102.2;0.42;15.8;7429;100.77;12.1;17.3;143.4;508;13.4;450.1;13.1;57.9;0.1;132232;133813;-1581;75981;71992;94.8;3988;5.2;879;1.2
4 кв. 2013;5.5;28500.77;108.65;-0.08;20104.35;101.1;139787;0.99;1;46822;92965;9.69;0.07;-4.22;105.79;0.06;0.1;0.04;1.08;106.5;45;41.9;13.1;70;52.3;17.4;24.5;29.9;-5.4;5.3;13130.42;51.8;5.06;7.54;19.02;16.6;75.1;14.8;6.1;4;103.6;33335.67;112.62;10030;109.6;30533;119.6;0.42;16.2;7326;98.61;8.5;12.2;143.7;490;13.3;472.2;13.1;17.8;0.2;123733;186382;-62649;75423;71274;94.5;4148;5.5;918;1.2
1 кв. 2014;7;30395.27;106.86;-23.46;17311.39;100.8;123172;1.08;1.01;50728;72444;14.84;0.09;3.05;86.11;0.07;0.08;0.05;1.02;102.3;49.9;35.7;14.4;75.2;55;19.8;17.6;15;2.6;7.9;9679.03;59.6;4.09;7.49;11.7;11.7;90;15.6;-5.6;0;71.7;30092.07;90.27;10891;108.8;22457;73.5;0.4;14.4;7688;104.94;19.8;13.8;143.7;451.9;12.8;474.5;13.4;-22.6;-0.6;106433;65760;40673;74979;70835;94.5;4144;5.5;941;1.3
2 кв. 2014;7.5;29763.03;106.55;-7.88;19044.19;100.9;132299;0.98;1.03;51828;80471;12.7;0.09;5.71;110.01;0.08;0.09;0.05;1.05;104.8;48.6;36.2;15.1;72.1;53.2;18.5;21.6;19.1;2.5;6.8;11662.59;55.9;4.5;6.33;14.5;14.5;80.1;14.9;3.3;1.7;118.4;32981.73;109.6;10872;108.4;27059;120.5;0.41;15.5;8192;106.56;17.4;12.1;143.8;480.6;12.9;486.6;13.3;-6;-0.4;155611;80486;75125;75287;71496;95;3792;5;869;1.1
3 кв. 2014;8;30196.7;99.38;-24.01;20544;101;125746;1.07;1.02;45266;80480;12.32;0.09;7.51;107.88;0.08;0.09;0.06;1.02;106.3;46.1;40.7;13.3;70.5;52.8;17.4;25.1;20.2;4.8;4.7;12052.76;52.4;4.52;6.67;18.1;18.1;82.8;15.4;-0.3;2.1;101.7;31735.7;96.22;10911;108.5;27965;103.3;0.41;15.8;8086;98.71;16.6;11.5;143.9;526.3;13.4;470.5;13.1;55.8;0.3;154833;85544;69289;75855;72161;95.1;3694;4.9;796;1.1
4 кв. 2014;9.5;30090.23;69.38;-68.78;22130.45;101.4;116681;1.33;1;42269;74412;9.06;0.09;-3.82;107.72;0.11;0.14;0.08;1.04;111.4;45.5;41.4;13.1;70;52.9;16.8;24.3;29.6;-5.2;6.5;13914.85;52.8;5.7;7.5;15.5;15.5;77.5;15.2;2.4;4.9;111.8;35706.97;112.51;10919;108.9;32285;115.5;0.42;16;8234;101.83;13.1;9.1;146.3;488.5;13.3;482;13.1;6.5;0.2;173947;78706;95241;75592;71665;94.8;3928;5.2;883;1.2
1 кв. 2015;14;31291.47;53.52;-29.1;18467.91;100.7;89516;1.26;1.06;44264;45252;15.96;0.11;-2.42;83.45;0.16;0.18;0.12;1;107.4;50.2;36.7;13.1;74.8;55.1;19.2;13.7;15.4;-1.7;12.5;11129.77;55.93;4.69;6.58;14.67;14.67;84.2;13.8;10;-8;74.4;31632.03;88.59;12102;111.2;25364;79.5;0.39;13.6;9662;117.34;22.9;15.9;146.3;454.8;12.6;507.3;14.1;-52.5;-1.5;130924;88407;42517;75962;71602;94.3;4360;5.7;1001;1.3
2 кв. 2015;12.5;31515.37;61.91;5.21;19751.01;100;91424;0.84;1.07;43748;47676;16.78;0.11;-4.47;106.95;0.13;0.15;0.09;1.01;108.5;49.7;39.4;10.9;71.9;53;18.5;19.1;18.5;0.6;9.1;13042.57;54.47;5.3;5.91;15.56;15.56;75.1;13.4;11.9;-0.4;115.2;34717.4;109.75;12072;111.1;29723;117.2;0.4;13.8;10017;103.67;20.1;14;146.3;472;12.8;480.8;13.6;-8.8;-0.8;147701;82277;65424;76503;72236;94.4;4268;5.6;974;1.3
3 кв. 2015;11;32123.27;48.28;9.7;21788.59;100.3;78761;1.2;1.01;28943;49818;15.91;0.11;-3.45;110.32;0.11;0.13;0.09;0.96;110.4;46.1;42.9;11;68.8;51.4;17;27.2;18.8;8.4;4.8;13140.16;51.51;5.63;6.57;17.72;17.72;80.5;14.7;5.2;-0.4;98.5;32995.8;95.04;12098;110.9;29946;100.7;0.4;14.2;9673;96.57;17.9;12.4;146.5;523.8;13.3;455.6;13.2;68.2;0.1;156809;95659;61150;77183;73127;94.7;4056;5.3;919;1.2
4 кв. 2015;11;32319.5;41.48;-2.87;23079.84;100.3;81104;1.07;1;30296;50808;15.48;0.11;-12.19;105.93;0.11;0.12;0.08;1.03;112.9;46.1;44;9.9;67.3;50.3;16.7;26.8;28.3;-1.5;6.6;15840.67;50.31;4.96;6.83;20.53;20.53;71.4;13;12.6;3;119.5;36703.83;111.24;12081;110.6;36100;120.6;0.41;15.6;9452;97.72;14.4;10;146.5;493.5;13.3;467.7;13.1;25.8;0.2;163183;86890;76293;76702;72330;94.3;4372;5.7;1001;1.3
